dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2016-04-17,198.0,300,Cal,0,0,2,30,12,12
2016-04-18,362.0,300,Cal,0,0,38,30,13,12
2016-04-19,430.0,300,Cal,0,0,49,30,16,12
2016-04-20,189.0,300,Cal,0,0,8,30,10,12
2016-04-21,233.0,300,Cal,0,0,17,30,12,12
2016-04-22,483.0,300,Cal,0,0,47,30,13,12
2016-04-23,228.0,300,Cal,0,0,11,30,11,12
2016-04-24,540.0,300,Cal,0,0,67,30,11,12
2016-04-25,0.0,300,Cal,0,0,0,30,0,12
2016-04-26,0.0,300,Cal,0,0,0,30,0,12
2016-04-27,145.0,300,Cal,0,0,3,30,9,12
2016-04-28,240.0,300,Cal,0,0,11,30,14,12
2016-04-29,269.0,300,Cal,0,0,9,30,14,12
2016-04-30,367.0,300,Cal,0,0,11,30,15,12
2016-05-01,294.0,300,Cal,0,0,13,30,11,12
2016-05-02,229.0,270,Cal,0,0,8,30,13,12
2016-05-03,549.0,270,Cal,0,0,51,30,16,12
2016-05-04,379.0,270,Cal,0,0,43,30,11,12
2016-05-05,238.0,270,Cal,0,0,17,30,12,12
2016-05-06,265.0,270,Cal,0,0,11,30,13,12
2016-05-07,274.0,270,Cal,0,0,9,30,15,12
2016-05-08,248.0,270,Cal,0,0,5,30,14,12
2016-05-09,245.0,240,Cal,0,0,15,30,14,12
2016-05-10,345.0,240,Cal,0,0,20,30,14,12
2016-05-11,520.0,240,Cal,0,0,53,30,15,12
2016-05-12,276.0,240,Cal,0,0,12,30,13,12
2016-05-13,577.0,240,Cal,0,0,52,30,17,12
2016-05-14,241.0,240,Cal,0,0,8,30,11,12
2016-05-15,540.0,240,Cal,0,0,45,30,16,12
2016-05-16,514.0,240,Cal,0,0,50,30,14,12
2016-05-17,296.0,240,Cal,0,0,21,30,14,12
2016-05-18,264.0,240,Cal,0,0,3,30,10,12
2016-05-19,294.0,240,Cal,0,0,13,30,13,12
2016-05-20,403.0,240,Cal,0,0,20,30,15,12
2016-05-21,406.0,240,Cal,0,0,35,30,14,12
2016-05-22,471.0,240,Cal,0,0,38,30,16,12
2016-05-23,429.0,240,Cal,0,0,31,30,16,12
2016-05-24,477.0,240,Cal,0,0,36,30,14,12
2016-05-25,304.0,240,Cal,0,0,9,30,18,12
2016-05-26,694.0,240,Cal,0,0,77,30,11,12
2016-05-27,222.0,240,Cal,0,0,5,30,11,12
2016-05-28,287.0,240,Cal,0,0,11,30,14,12
2016-05-29,323.0,240,Cal,0,0,12,30,13,12
2016-05-30,442.0,260,Cal,0,0,32,30,13,12
2016-05-31,269.0,260,Cal,0,0,7,30,14,12
2016-06-01,863.0,260,Cal,0,0,72,30,13,12
2016-06-02,801.0,260,Cal,0,0,70,30,14,12
2016-06-03,215.0,260,Cal,0,0,6,30,13,12
2016-06-04,802.0,260,Cal,0,0,72,30,15,12
2016-06-05,722.0,260,Cal,0,0,77,30,16,12
2016-06-06,330.0,280,Cal,0,0,10,30,14,12
2016-06-07,287.0,280,Cal,0,0,12,30,14,12
2016-06-08,345.0,280,Cal,0,0,11,30,15,12
2016-06-09,265.0,280,Cal,0,0,12,30,12,12
2016-06-10,261.0,280,Cal,0,0,5,30,15,12
2016-06-11,274.0,280,Cal,0,0,8,30,15,12
2016-06-12,330.0,280,Cal,0,0,14,30,13,12
2016-06-13,740.0,280,Cal,0,0,107,30,12,12
2016-06-14,415.0,280,Cal,0,0,36,30,14,12
2016-06-15,360.0,280,Cal,0,0,13,30,15,12
2016-06-16,441.0,280,Cal,0,0,24,30,15,12
2016-06-17,302.0,280,Cal,0,0,16,30,12,12
2016-06-18,797.0,280,Cal,0,0,102,30,13,12
2016-06-19,897.0,280,Cal,0,0,126,30,14,12
2016-06-20,538.0,280,Cal,0,0,68,30,11,12
2016-06-21,463.0,280,Cal,0,0,50,30,14,12
2016-06-22,836.0,280,Cal,0,0,100,30,13,12
2016-06-23,590.0,280,Cal,0,0,90,30,15,12
2016-06-24,341.0,280,Cal,0,0,32,30,11,12
2016-06-25,967.0,280,Cal,0,0,142,30,14,12
2016-06-26,536.0,280,Cal,0,0,38,30,14,12
2016-06-27,746.0,300,Cal,0,0,96,30,10,12
2016-06-28,458.0,300,Cal,0,0,40,30,15,12
2016-06-29,662.0,300,Cal,0,0,57,30,15,12
2016-06-30,811.0,300,Cal,0,0,101,30,13,12
2016-07-01,513.0,300,Cal,0,0,52,30,15,12
2016-07-02,1023.0,300,Cal,0,0,119,30,15,12
2016-07-03,926.0,300,Cal,0,0,115,30,14,12
2016-07-04,941.0,330,Cal,0,0,104,30,14,12
2016-07-05,762.0,330,Cal,0,0,94,30,13,12
2016-07-06,868.0,330,Cal,0,0,109,30,13,12
2016-07-07,344.0,330,Cal,0,0,21,30,12,12
2016-07-08,519.0,330,Cal,0,0,44,30,14,12
2016-07-09,848.0,330,Cal,0,0,95,30,12,12
2016-07-10,537.0,330,Cal,0,0,56,30,13,12
2016-07-11,613.0,360,Cal,0,0,88,30,13,12
2016-07-12,697.0,360,Cal,0,0,58,30,18,12
2016-07-13,872.0,360,Cal,0,0,106,30,12,12
2016-07-14,1091.0,360,Cal,0,0,126,30,18,12
2016-07-15,627.0,360,Cal,0,0,63,30,14,12
2016-07-16,445.0,360,Cal,0,0,37,30,10,12
2016-07-17,439.0,360,Cal,0,0,28,30,14,12
2016-07-18,776.0,390,Cal,0,0,93,30,14,12
2016-07-19,710.0,390,Cal,0,0,76,30,15,12
2016-07-20,779.0,390,Cal,0,0,87,30,13,12
2016-07-21,507.0,390,Cal,0,0,39,30,14,12
2016-07-22,520.0,390,Cal,0,0,45,30,14,12
2016-07-23,552.0,390,Cal,0,0,64,30,13,12
2016-07-24,671.0,390,Cal,0,0,57,30,15,12
2016-07-25,550.0,420,Cal,0,0,46,30,16,12
2016-07-26,781.0,420,Cal,0,0,91,30,14,12
2016-07-27,680.0,420,Cal,0,0,65,30,13,12
2016-07-28,452.0,420,Cal,0,0,31,30,14,12
2016-07-29,475.0,420,Cal,0,0,35,30,16,12
2016-07-30,839.0,420,Cal,0,0,106,30,14,12
2016-07-31,481.0,420,Cal,0,0,60,30,8,12
2016-08-01,598.0,460,Cal,0,0,47,30,16,12
2016-08-02,658.0,460,Cal,0,0,82,30,9,12
2016-08-03,677.0,460,Cal,0,0,84,30,15,12
2016-08-04,466.0,460,Cal,0,0,42,30,12,12
2016-08-05,622.0,460,Cal,0,0,54,30,12,12
2016-08-06,578.0,460,Cal,0,0,50,30,14,12
2016-08-07,667.0,460,Cal,0,0,99,30,13,12
2016-08-08,661.0,500,Cal,0,0,51,30,17,12
2016-08-09,672.0,500,Cal,0,0,76,30,16,12
2016-08-10,366.0,500,Cal,0,0,29,30,16,12
2016-08-11,249.0,500,Cal,0,0,15,30,11,12
2016-08-12,641.0,500,Cal,0,0,49,30,15,12
2016-08-13,368.0,500,Cal,0,0,26,30,12,12
2016-08-14,332.0,500,Cal,0,0,21,30,11,12
2016-08-15,525.0,500,Cal,0,0,53,30,13,12
2016-08-16,662.0,500,Cal,0,0,49,30,15,12
2016-08-17,376.0,500,Cal,0,0,20,30,12,12
2016-08-18,386.0,500,Cal,0,0,26,30,10,12
2016-08-19,423.0,500,Cal,0,0,32,30,14,12
2016-08-20,324.0,500,Cal,0,0,27,30,14,12
2016-08-21,580.0,500,Cal,0,0,54,30,14,12
2016-08-22,399.0,500,Cal,0,0,34,30,13,12
2016-08-23,616.0,500,Cal,0,0,68,30,13,12
2016-08-24,836.0,500,Cal,0,0,89,30,15,12
2016-08-25,938.0,500,Cal,0,0,106,30,16,12
2016-08-26,511.0,500,Cal,0,0,50,30,17,12
2016-08-27,597.0,500,Cal,0,0,44,30,13,12
2016-08-28,958.0,500,Cal,0,0,142,30,16,12
2016-08-29,790.0,500,Cal,0,0,105,30,11,12
2016-08-30,798.0,500,Cal,0,0,110,30,14,12
2016-08-31,539.0,500,Cal,0,0,48,30,13,12
2016-09-01,988.0,500,Cal,0,0,135,30,13,12
2016-09-02,662.0,500,Cal,0,0,72,30,15,12
2016-09-03,511.0,500,Cal,0,0,38,30,15,12
2016-09-04,797.0,500,Cal,0,0,88,30,14,12
2016-09-05,224.0,500,Cal,0,0,4,30,11,12
2016-09-06,575.0,500,Cal,0,0,46,30,15,12
2016-09-07,769.0,500,Cal,0,0,109,30,9,12
2016-09-08,466.0,500,Cal,0,0,35,30,12,12
2016-09-09,509.0,500,Cal,0,0,41,30,12,12
2016-09-10,535.0,500,Cal,0,0,68,30,10,12
2016-09-11,472.0,500,Cal,0,0,57,30,12,12
2016-09-12,484.0,500,Cal,0,0,25,30,14,12
